Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sophia
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 239: loss 2.4006, time 391.26ms, mfu 0.04%
iter 240: loss 2.3840, time 429.20ms, mfu 0.04%
iter 241: loss 2.3896, time 395.84ms, mfu 0.04%
iter 242: loss 2.3567, time 417.20ms, mfu 0.04%
iter 243: loss 2.3611, time 365.56ms, mfu 0.04%
iter 244: loss 2.2900, time 427.99ms, mfu 0.04%
iter 245: loss 2.3757, time 383.78ms, mfu 0.04%
iter 246: loss 2.3317, time 375.12ms, mfu 0.04%
iter 247: loss 2.2952, time 392.15ms, mfu 0.04%
iter 248: loss 2.3557, time 378.27ms, mfu 0.04%
iter 249: loss 2.3528, time 394.52ms, mfu 0.04%
step 250: train loss 2.3537, val loss 2.3673
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3296, time 5109.13ms, mfu 0.04%
iter 251: loss 2.3698, time 386.35ms, mfu 0.04%
iter 252: loss 2.3931, time 364.39ms, mfu 0.04%
iter 253: loss 2.3535, time 410.23ms, mfu 0.04%
iter 254: loss 2.2147, time 385.60ms, mfu 0.04%
iter 255: loss 2.3299, time 391.06ms, mfu 0.04%
iter 256: loss 2.2879, time 392.16ms, mfu 0.04%
iter 257: loss 2.3535, time 320.54ms, mfu 0.04%
iter 258: loss 2.2978, time 436.34ms, mfu 0.04%
iter 259: loss 2.4318, time 430.67ms, mfu 0.04%
iter 260: loss 2.3818, time 387.62ms, mfu 0.04%
iter 261: loss 2.2881, time 381.96ms, mfu 0.04%
iter 262: loss 2.2618, time 415.57ms, mfu 0.04%
iter 263: loss 2.3279, time 404.41ms, mfu 0.04%
iter 264: loss 2.3553, time 485.47ms, mfu 0.04%
iter 265: loss 2.3144, time 443.72ms, mfu 0.04%
iter 266: loss 2.2994, time 436.36ms, mfu 0.04%
iter 267: loss 2.3398, time 380.43ms, mfu 0.04%
iter 268: loss 2.2699, time 325.52ms, mfu 0.04%
iter 269: loss 2.2888, time 336.22ms, mfu 0.04%
iter 270: loss 2.3068, time 418.67ms, mfu 0.04%
iter 271: loss 2.4328, time 442.73ms, mfu 0.04%
iter 272: loss 2.3884, time 376.71ms, mfu 0.04%
iter 273: loss 2.3083, time 386.30ms, mfu 0.04%
iter 274: loss 2.3547, time 408.56ms, mfu 0.04%
iter 275: loss 2.3476, time 436.60ms, mfu 0.04%
iter 276: loss 2.4077, time 392.31ms, mfu 0.04%
iter 277: loss 2.3565, time 369.27ms, mfu 0.04%
iter 278: loss 2.2997, time 396.05ms, mfu 0.04%
iter 279: loss 2.2824, time 366.61ms, mfu 0.04%
iter 280: loss 2.3612, time 394.30ms, mfu 0.04%
iter 281: loss 2.2937, time 342.54ms, mfu 0.04%
iter 282: loss 2.2998, time 383.67ms, mfu 0.04%
iter 283: loss 2.3647, time 424.64ms, mfu 0.04%
iter 284: loss 2.3603, time 430.51ms, mfu 0.04%
iter 285: loss 2.3383, time 363.69ms, mfu 0.04%
iter 286: loss 2.2825, time 381.91ms, mfu 0.04%
iter 287: loss 2.2806, time 444.28ms, mfu 0.04%
iter 288: loss 2.3337, time 411.15ms, mfu 0.04%
iter 289: loss 2.2732, time 398.73ms, mfu 0.04%
iter 290: loss 2.3482, time 415.78ms, mfu 0.04%
iter 291: loss 2.3255, time 380.20ms, mfu 0.04%
iter 292: loss 2.3113, time 446.18ms, mfu 0.04%
iter 293: loss 2.2703, time 394.41ms, mfu 0.04%
iter 294: loss 2.3349, time 428.02ms, mfu 0.04%
iter 295: loss 2.3252, time 350.02ms, mfu 0.04%
iter 296: loss 2.2952, time 414.12ms, mfu 0.04%
iter 297: loss 2.2666, time 427.48ms, mfu 0.04%
iter 298: loss 2.3681, time 380.35ms, mfu 0.04%
iter 299: loss 2.2687, time 358.31ms, mfu 0.04%
iter 300: loss 2.4194, time 405.33ms, mfu 0.04%
iter 301: loss 2.3044, time 371.55ms, mfu 0.04%
iter 302: loss 2.2898, time 375.11ms, mfu 0.04%
iter 303: loss 2.3048, time 409.91ms, mfu 0.04%
iter 304: loss 2.2609, time 351.86ms, mfu 0.04%
iter 305: loss 2.2744, time 412.23ms, mfu 0.04%
iter 306: loss 2.3331, time 366.31ms, mfu 0.04%
iter 307: loss 2.4117, time 412.57ms, mfu 0.04%
iter 308: loss 2.1861, time 359.13ms, mfu 0.04%
iter 309: loss 2.2996, time 412.24ms, mfu 0.04%
iter 310: loss 2.2587, time 398.55ms, mfu 0.04%
iter 311: loss 2.3027, time 330.40ms, mfu 0.04%
iter 312: loss 2.4100, time 395.50ms, mfu 0.04%
iter 313: loss 2.4123, time 387.46ms, mfu 0.04%
iter 314: loss 2.2550, time 340.24ms, mfu 0.04%
iter 315: loss 2.3634, time 376.12ms, mfu 0.04%
iter 316: loss 2.3082, time 416.93ms, mfu 0.04%
iter 317: loss 2.2637, time 398.29ms, mfu 0.04%
iter 318: loss 2.3554, time 363.12ms, mfu 0.04%
iter 319: loss 2.2732, time 378.38ms, mfu 0.04%
iter 320: loss 2.3500, time 401.05ms, mfu 0.04%
iter 321: loss 2.3308, time 442.72ms, mfu 0.04%
iter 322: loss 2.2147, time 441.60ms, mfu 0.04%
iter 323: loss 2.2891, time 367.23ms, mfu 0.04%
iter 324: loss 2.3450, time 364.04ms, mfu 0.04%
iter 325: loss 2.3481, time 402.83ms, mfu 0.04%
iter 326: loss 2.3813, time 523.56ms, mfu 0.04%
iter 327: loss 2.2850, time 413.21ms, mfu 0.04%
iter 328: loss 2.2930, time 360.29ms, mfu 0.04%
iter 329: loss 2.2105, time 433.65ms, mfu 0.04%
iter 330: loss 2.3146, time 370.10ms, mfu 0.04%
iter 331: loss 2.2942, time 409.71ms, mfu 0.04%
iter 332: loss 2.2554, time 371.82ms, mfu 0.04%
iter 333: loss 2.2087, time 414.43ms, mfu 0.04%
iter 334: loss 2.2305, time 391.14ms, mfu 0.04%
iter 335: loss 2.2519, time 414.52ms, mfu 0.04%
iter 336: loss 2.2750, time 424.55ms, mfu 0.04%
iter 337: loss 2.3173, time 377.81ms, mfu 0.04%
iter 338: loss 2.1763, time 380.70ms, mfu 0.04%
iter 339: loss 2.2314, time 438.37ms, mfu 0.04%
iter 340: loss 2.2034, time 401.40ms, mfu 0.04%
iter 341: loss 2.1591, time 391.26ms, mfu 0.04%
iter 342: loss 2.2619, time 408.97ms, mfu 0.04%
iter 343: loss 2.3691, time 363.17ms, mfu 0.04%
iter 344: loss 2.2749, time 444.66ms, mfu 0.04%
iter 345: loss 2.3730, time 412.71ms, mfu 0.04%
iter 346: loss 2.2884, time 404.82ms, mfu 0.04%
iter 347: loss 2.2242, time 456.14ms, mfu 0.04%
iter 348: loss 2.2600, time 411.05ms, mfu 0.04%
iter 349: loss 2.2172, time 378.07ms, mfu 0.04%
iter 350: loss 2.3065, time 382.64ms, mfu 0.04%
iter 351: loss 2.2532, time 386.22ms, mfu 0.04%
iter 352: loss 2.2345, time 417.64ms, mfu 0.04%
iter 353: loss 2.2552, time 415.35ms, mfu 0.04%
iter 354: loss 2.2770, time 430.06ms, mfu 0.04%
iter 355: loss 2.3291, time 396.03ms, mfu 0.04%
iter 356: loss 2.1813, time 376.22ms, mfu 0.04%
iter 357: loss 2.3119, time 392.53ms, mfu 0.04%
iter 358: loss 2.2602, time 427.96ms, mfu 0.04%
iter 359: loss 2.1973, time 419.84ms, mfu 0.04%
iter 360: loss 2.2773, time 360.49ms, mfu 0.04%
iter 361: loss 2.2560, time 392.11ms, mfu 0.04%
iter 362: loss 2.2841, time 375.32ms, mfu 0.04%
iter 363: loss 2.2310, time 389.33ms, mfu 0.04%
iter 364: loss 2.3503, time 402.21ms, mfu 0.04%
iter 365: loss 2.3335, time 346.41ms, mfu 0.04%
