Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerSgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 149: loss 3.5790, time 635.81ms, mfu 0.04%
iter 150: loss 3.5192, time 368.13ms, mfu 0.04%
iter 151: loss 3.6418, time 397.49ms, mfu 0.04%
iter 152: loss 3.5356, time 400.99ms, mfu 0.04%
iter 153: loss 3.5106, time 397.73ms, mfu 0.04%
iter 154: loss 3.4726, time 343.53ms, mfu 0.04%
iter 155: loss 3.5219, time 362.78ms, mfu 0.04%
iter 156: loss 3.4943, time 397.13ms, mfu 0.04%
iter 157: loss 3.4922, time 389.43ms, mfu 0.04%
iter 158: loss 3.5053, time 451.68ms, mfu 0.04%
iter 159: loss 3.4498, time 623.12ms, mfu 0.04%
iter 160: loss 3.4460, time 411.70ms, mfu 0.04%
iter 161: loss 3.4812, time 438.37ms, mfu 0.04%
iter 162: loss 3.5848, time 419.81ms, mfu 0.04%
iter 163: loss 3.5061, time 389.11ms, mfu 0.04%
iter 164: loss 3.4692, time 386.87ms, mfu 0.04%
iter 165: loss 3.4131, time 405.70ms, mfu 0.04%
iter 166: loss 3.4932, time 371.33ms, mfu 0.04%
iter 167: loss 3.5292, time 398.76ms, mfu 0.04%
iter 168: loss 3.5123, time 363.53ms, mfu 0.04%
iter 169: loss 3.5359, time 627.14ms, mfu 0.04%
iter 170: loss 3.5546, time 441.26ms, mfu 0.04%
iter 171: loss 3.5956, time 363.93ms, mfu 0.04%
iter 172: loss 3.4684, time 398.45ms, mfu 0.04%
iter 173: loss 3.5983, time 393.00ms, mfu 0.04%
iter 174: loss 3.4350, time 448.83ms, mfu 0.04%
iter 175: loss 3.4360, time 387.26ms, mfu 0.04%
iter 176: loss 3.4213, time 367.08ms, mfu 0.04%
iter 177: loss 3.5026, time 362.60ms, mfu 0.04%
iter 178: loss 3.4742, time 383.93ms, mfu 0.04%
iter 179: loss 3.4744, time 614.52ms, mfu 0.04%
iter 180: loss 3.4437, time 410.37ms, mfu 0.04%
iter 181: loss 3.5102, time 385.81ms, mfu 0.04%
iter 182: loss 3.4471, time 414.99ms, mfu 0.04%
iter 183: loss 3.4767, time 395.94ms, mfu 0.04%
iter 184: loss 3.4838, time 441.34ms, mfu 0.04%
iter 185: loss 3.4497, time 439.34ms, mfu 0.04%
iter 186: loss 3.4127, time 399.11ms, mfu 0.04%
iter 187: loss 3.4792, time 372.64ms, mfu 0.04%
iter 188: loss 3.4005, time 352.69ms, mfu 0.04%
iter 189: loss 3.4582, time 661.67ms, mfu 0.04%
iter 190: loss 3.4437, time 401.66ms, mfu 0.04%
iter 191: loss 3.4509, time 365.56ms, mfu 0.04%
iter 192: loss 3.5098, time 405.13ms, mfu 0.04%
iter 193: loss 3.3958, time 415.98ms, mfu 0.04%
iter 194: loss 3.5186, time 367.48ms, mfu 0.04%
iter 195: loss 3.4169, time 368.34ms, mfu 0.04%
iter 196: loss 3.4283, time 371.45ms, mfu 0.04%
