Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerAdam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 250: loss 2.3531, time 4855.86ms, mfu 0.03%
iter 251: loss 2.2198, time 455.97ms, mfu 0.03%
iter 252: loss 2.2754, time 478.37ms, mfu 0.03%
iter 253: loss 2.2250, time 424.92ms, mfu 0.03%
iter 254: loss 2.2656, time 584.03ms, mfu 0.03%
iter 255: loss 2.2790, time 458.89ms, mfu 0.03%
iter 256: loss 2.2072, time 460.42ms, mfu 0.03%
iter 257: loss 2.1740, time 543.33ms, mfu 0.03%
iter 258: loss 2.3217, time 412.74ms, mfu 0.03%
iter 259: loss 2.2838, time 720.51ms, mfu 0.03%
iter 260: loss 2.2251, time 478.40ms, mfu 0.03%
iter 261: loss 2.2908, time 459.04ms, mfu 0.03%
iter 262: loss 2.2411, time 474.04ms, mfu 0.03%
iter 263: loss 2.1512, time 448.47ms, mfu 0.03%
iter 264: loss 2.2533, time 460.28ms, mfu 0.03%
iter 265: loss 2.1556, time 409.07ms, mfu 0.03%
iter 266: loss 2.2610, time 459.80ms, mfu 0.03%
iter 267: loss 2.4256, time 501.39ms, mfu 0.03%
iter 268: loss 2.2055, time 462.37ms, mfu 0.03%
iter 269: loss 2.1982, time 664.73ms, mfu 0.03%
iter 270: loss 2.3634, time 469.14ms, mfu 0.03%
iter 271: loss 2.1835, time 398.06ms, mfu 0.03%
iter 272: loss 2.2313, time 432.99ms, mfu 0.03%
iter 273: loss 2.2720, time 489.64ms, mfu 0.03%
iter 274: loss 2.2979, time 447.20ms, mfu 0.03%
iter 275: loss 2.2377, time 458.09ms, mfu 0.03%
iter 276: loss 2.3357, time 440.17ms, mfu 0.03%
iter 277: loss 2.2877, time 485.50ms, mfu 0.03%
iter 278: loss 2.2335, time 457.57ms, mfu 0.03%
iter 279: loss 2.2258, time 648.38ms, mfu 0.03%
iter 280: loss 2.2794, time 435.74ms, mfu 0.03%
iter 281: loss 2.3195, time 449.01ms, mfu 0.03%
iter 282: loss 2.2785, time 441.61ms, mfu 0.03%
iter 283: loss 2.3006, time 435.15ms, mfu 0.03%
iter 284: loss 2.1883, time 477.25ms, mfu 0.03%
iter 285: loss 2.2085, time 441.39ms, mfu 0.03%
iter 286: loss 2.2688, time 464.70ms, mfu 0.03%
iter 287: loss 2.2717, time 535.10ms, mfu 0.03%
iter 288: loss 2.1570, time 409.23ms, mfu 0.03%
iter 289: loss 2.2596, time 697.22ms, mfu 0.03%
iter 290: loss 2.2553, time 424.54ms, mfu 0.03%
iter 291: loss 2.2570, time 428.84ms, mfu 0.03%
iter 292: loss 2.2285, time 472.08ms, mfu 0.03%
iter 293: loss 2.1727, time 444.68ms, mfu 0.03%
iter 294: loss 2.2663, time 449.83ms, mfu 0.03%
